ST;stimulus;spike;time;ISI;amplitude;half-width;rise;baseline;decay50;decay70;decay90;area;decayrate;decaytime
5;15;6;1708,259;27;1,337;4,957;2,9;0,003;3,459;4,749;7,566;7,805;0,265;3,77
5;15;7;1737,258;28,999;1,517;4,559;2,58;0,003;2,92;4,19;6,136;15,697;0,31;3,226
5;15;8;1772,259;35,001;1,575;4,491;1,91;-0,008;2,966;4,235;6,552;8,266;0;0
5;15;9;1801,26;29,001;1,481;4,434;2,1;0,007;2,652;3,777;5,599;14,339;0,523;1,913
5;15;10;1823,26;22;1,353;4,533;3,53;0,007;3,251;4,238;5,901;7,02;0,299;3,34
5;15;11;1854,26;31;1,398;4,237;2,32;-0,005;3,127;4,303;6,237;6,94;0;0
5;15;12;1883,26;29;1,412;4,35;2,23;0;2,403;3,431;5,131;7,002;0;0
5;15;13;1904,261;21,001;1,438;4,176;2,03;0,02;2,468;3,548;5,223;6,805;0,356;2,807
5;15;14;1927,261;23;1,45;4,398;2,74;0,02;2,258;3,286;4,949;14,055;0,382;2,618
5;15;15;1947,261;20;1,631;3,768;1,86;0,013;2,965;3,955;5,699;7,235;0,318;3,14
5;15;16;1970,261;23;1,694;3,959;1,72;0,034;2,576;3,589;5,053;7,268;0,349;2,866
5;15;17;1991,261;21;1,448;4,02;2,19;0,034;2,878;3,84;5,442;6,488;0,318;3,143
5;15;18;2013,262;22,001;1,693;4,021;2,07;0,015;2,836;3,889;5,712;7,759;0,328;3,046
5;15;19;2040,262;27;1,522;4,129;1,82;0,026;2,401;3,443;5,039;13,486;0,557;1,794
5;15;20;2062,262;22;1,459;3,978;1,93;0,026;2,271;3,305;4,776;6,57;0,383;2,611
5;15;21;2084,262;22;1,555;4,116;1,9;0,01;2,866;3,86;5,56;7,252;0,33;3,032
5;15;22;2109,262;25;1,594;3,906;2,07;0,04;2,791;3,829;5,588;7,01;0,321;3,116
5;15;23;2128,263;19,001;1,253;4,053;2,98;0,04;2,565;3,453;4,82;5,709;0,344;2,903
5;15;24;2147,262;18,999;1,362;3,962;2,5;0,034;2,014;2,899;4,332;6,126;0,421;2,374
5;15;25;2167,263;20,001;1,58;3,794;1,91;0,034;2,048;2,889;4,488;6,833;0,417;2,396
